Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,QQQ,SPY,QQQ,SPY,QQQ,SPY,QQQ,SPY,QQQ,SPY
Date,,,,,,,,,,
2022-01-03,392.63873291015625,454.46685791015625,392.89289021642185,454.60006010076347,387.94678618793876,450.7946813895008,390.0679257911456,453.1254584305079,40575900,72668200
2022-01-04,387.5460205078125,454.314697265625,393.2252432133399,456.6264871926685,384.43760498343846,452.4405468498058,393.18613520435304,455.9034558547669,58027200,71178700
2022-01-05,375.64019775390625,445.59088134765625,386.9791045424801,454.72379721941445,375.38604043103663,445.4957410612625,385.8549655102009,453.9436875168203,75739800,104538900
2022-01-06,375.3762512207031,445.1722106933594,378.63131441389,447.9120878865896,371.57382503945024,442.7843263697379,373.8122887846944,445.12465507471705,70814300,86858900
2022-01-07,371.3099060058594,443.41229248046875,377.0771297069562,446.3709898930315,369.5308941513174,442.04235365161964,375.38605867685527,445.1818088980402,72652300,85111600
2022-01-10,371.5542297363281,442.8604431152344,372.07232879904006,443.0792337967704,360.99733488951995,434.38395907153614,366.38332187539964,440.1871670570501,91770500,119362000
2022-01-11,377.13568115234375,446.89422607421875,377.3018379596349,446.9893663621023,368.7292504380388,439.56885939827777,370.82106620063774,442.5941579696336,68295700,74303100
2022-01-12,378.63128662109375,448.1023864746094,381.41714298058406,450.17634006108017,376.3439604041235,446.1236022008908,379.7162877187325,448.6446599412308,54576400,67605400
2022-01-13,369.1594543457031,441.92816162109375,380.70362691435884,449.87189583965556,368.2210708306454,440.8911993602203,380.0193709119303,449.2154656602354,77994000,91173100
2022-01-14,371.45654296875,442.1089172363281,371.7888864887872,442.46091013573596,366.4224380349558,437.52342874092443,366.62773272168914,438.7506715527744,80121200,95890900
2022-01-18,362.20947265625,434.2793273925781,367.751862728493,437.58049462168793,361.44703045997744,433.156747628445,365.6209383633561,437.37119762899056,75450900,109709100
2022-01-19,358.2310791015625,429.76995849609375,366.25627559304854,437.24751373310744,357.96713731713106,429.4940604101733,363.773438945217,435.83954218993154,81791500,109357600
2022-01-20,353.57818603515625,425.0132751464844,365.4547004323681,436.41988962546833,353.0405777040628,422.8727494182704,361.4665486951096,431.67268852315004,88610700,122379700
2022-01-21,343.7739562988281,416.66998291015625,354.02783164181,426.2595251893623,343.4904754373985,416.6414437290443,351.37883827384115,423.8811633209073,143388900,202271200
2022-01-24,345.3476867675781,418.439453125,346.01240356601903,418.9531873967836,326.628733124026,400.2878088602572,338.12404110377776,411.0094532738382,198685800,251783900
2022-01-25,337.3420104980469,413.33074951171875,343.12877215854456,418.3253093866,333.98922247580833,406.3668990611703,338.8669243805389,411.9893499471079,124398400,167997300
2022-01-26,336.81427001953125,412.2938232421875,348.8471885948809,422.43516251974654,333.10956869819853,407.99372606956337,344.9665459541835,419.2766907456176,146559500,186391100
2022-01-27,333.42236328125,410.2579345703125,343.3634353297951,420.1043593522783,332.39597928732866,408.55504823079383,341.53553096116303,416.9363938476365,95255700,149878300
2022-01-28,343.8814697265625,420.44677734375,344.09651903225364,420.49433296289186,330.3432374200508,407.00427286872593,335.3088807096405,411.62779390631573,108167900,164457400
2022-01-31,354.8782043457031,428.0195007324219,355.46470509152743,428.3714936288745,343.60773085586965,418.410913382433,345.2499389103112,419.77132934597444,94326400,152251400
2022-02-01,357.2926025390625,430.9116516113281,357.9475348232785,431.5585591267441,351.05623321973144,425.19405990250624,356.227140621716,428.75208027003447,74433000,123155400
2022-02-02,360.19580078125,435.0975646972656,361.7695774661656,435.8300897660779,356.09035475017345,431.0067645002516,361.4372339658406,433.3375709516166,78777100,117361000
2022-02-03,345.592041015625,424.87054443359375,353.7834229733807,430.93060546469786,344.52657906648824,424.02383372363494,350.45995848265426,429.0088996423524,95384800,118024400
2022-02-04,349.9516906738281,426.86846923828125,353.26537086597784,430.74994366492376,344.04763451806997,422.23539517697634,346.11012696502615,424.6328029115206,86318300,118454400
2022-02-07,347.1365661621094,425.4984130859375,352.92329922018524,429.0469100130971,345.8755937563795,424.1570136592656,350.5480020003738,427.6389385264862,58198100,84472900
2022-02-08,351.03668212890625,428.9993591308594,352.13146764707204,429.93168734037675,344.85892975563564,423.55766656727224,345.9928232796411,424.9942062803766,64720900,81012000
2022-02-09,358.4754943847656,435.2782287597656,358.5536805849077,435.60168244901234,353.9692427328565,432.87132801480357,355.5723432271839,433.07110225730486,55766400,92589900
2022-02-10,350.36224365234375,427.45819091796875,358.24082213675007,435.4399575429741,348.51480037447556,425.4413448777834,351.4277057239334,429.3798966853135,112468500,140103700
2022-02-11,339.2481689453125,419.0292663574219,351.9653418318356,429.6367536501925,338.01652021354147,417.5832329068781,350.3622415885355,427.5438127901477,101569100,153214600
2022-02-14,339.66851806640625,417.6593322753906,343.0799837493094,420.11381781584214,336.1495724659132,414.1583908098364,338.69102654834177,418.5155657162721,80254400,123006300
2022-02-15,348.1140441894531,424.3949279785156,348.3486325979242,424.56616307743894,343.90105831351593,421.61698834299796,344.9665204428854,422.14024541113895,55128800,88482700
2022-02-16,348.0260314941406,424.87054443359375,349.0523854878888,426.2594995520665,342.8159858502387,420.43727469350324,345.85599948590925,422.33044133645325,58947100,84863600
2022-02-17,337.6744079589844,415.794677734375,345.5040936002371,424.84197437061925,337.2540639957622,415.18583227395254,344.8002986158995,421.65496408370154,61801400,102259100
2022-02-18,333.8231201171875,413.10247802734375,339.0038129549935,417.3169286772456,331.50647011555213,410.80973349176696,338.61282233470723,416.05162378874843,80001500,132642900
2022-02-22,330.47027587890625,408.66912841796875,336.2961460391532,414.3105952266778,326.8242520872339,405.13961886160763,330.87105092833286,410.8762549746331,85967100,124391800
2022-02-23,322.0052185058594,401.4199523925781,334.47798803538564,412.17965982281106,321.6924141097745,400.8491397025898,333.63735978041024,411.60884713282275,86215400,132578000
2022-02-24,332.8260192871094,407.4609069824219,333.3636574265106,407.89854643036176,311.0964057288624,390.66018580604356,311.6633375847865,391.0216723899827,130614100,213942900
2022-02-25,337.9871826171875,416.4511413574219,338.19247728439757,416.536758896274,329.7958299373636,407.0423283628281,333.62757942924577,408.7071815835602,78842100,121804500
2022-02-28,338.9940490722656,415.3855895996094,340.69490461129897,416.8792075616213,333.6374146047711,409.7441231946337,334.80063190643665,411.0093987146438,77515500,145615000
2022-03-01,333.8035583496094,409.0592041015625,340.24522366925464,415.89937480955257,331.27185897796164,406.3288204281093,337.9676816300421,413.8730059555748,67407000,137785900
2022-03-02,339.4045715332031,416.5843505859375,340.743730003674,418.32529863747123,332.5816706928627,410.57184502795667,335.35774274179096,411.3329091857638,70609000,117726500
2022-03-03,334.55621337890625,414.5104064941406,342.1610952156025,419.64766225828436,332.6892012404658,412.69333456576396,342.0535556505318,419.0388167247073,71089400,105501700
2022-03-04,329.7078857421875,411.1427001953125,333.62763637805546,412.28429655012116,327.38148092605786,407.0614228224781,332.19072261565725,410.74312259984873,76936300,113978200
2022-03-07,317.5478515625,399.0225524902344,330.86130989398856,411.26635572765974,317.34258671483224,398.95595138470884,329.6980927060861,410.55284710978884,89933800,137896600
2022-03-08,316.0718994140625,395.9972229003906,325.7099518013741,406.4239524600854,312.7386496409149,394.9221987671591,316.75612560229297,399.2032498255417,116153900,164772700
2022-03-09,327.4498291015625,406.61431884765625,328.80855644371707,408.61214890320167,321.682635903484,402.247649330206,324.2827665639788,404.45477642076554,64723400,116990800
2022-03-10,323.8135986328125,404.7781982421875,325.02570837829484,405.6819583876489,319.3562397769696,399.983412293937,323.3737453559898,401.96219671470897,69362700,93972700
2022-03-11,317.09820556640625,399.6313781738281,327.1077378305876,407.9080597079129,316.6094598642907,399.11764390270645,326.7949334218728,407.289691454699,66228400,95636300
2022-03-14,311.00848388671875,396.7107849121094,319.23894561699916,403.893426598981,310.30468881302517,395.5596658236658,315.8568333773451,400.4115301507215,79802600,95729200
2022-03-15,320.76385498046875,405.4345703125,321.5458661403621,406.0719549823202,312.044646820056,398.06164912865256,313.65750195573986,399.34594120545717,76471000,106219100
2022-03-16,332.6598815917969,414.4248352050781,332.77717578730727,414.4819135729484,321.00817093681604,404.1312770522876,324.693332619566,408.9736478442885,105243000,144954800
2022-03-17,336.6871032714844,419.6095886230469,336.7457503625978,419.6095886230469,329.45367367104814,412.1129881915557,330.7537239649517,412.49352024217904,67810000,102676900
2022-03-18,343.57843017578125,424.20550537109375,343.8716954835442,424.52996393742103,333.8621636258162,417.23912570886466,335.0253807360704,417.9834786840698,85446300,106345500
2022-03-21,342.62322998046875,424.08154296875,344.9721335120002,426.0569225432982,338.21908066017096,420.5410677313468,342.7406990510846,424.0338104778879,73799100,88349800
2022-03-22,349.356689453125,429.0438537597656,350.227746654453,429.9886017052283,342.74069878917777,425.48430327782444,343.12237619885303,425.48430327782444,63345900,74650400
2022-03-23,344.3359375,423.5184326171875,350.0417740599546,427.99410304889057,344.2772179014025,423.43254909079474,346.469525763384,426.48632149177547,70615500,79426100
2022-03-24,351.9893798828125,429.9026794433594,352.0383327937286,429.91223176451206,344.101061821773,424.4345580420555,346.26398003398117,425.560625266719,53555300,64736900
2022-03-25,351.69580078125,432.0021667480469,352.9876917650907,432.2789219648752,347.3797308131114,427.9368385119632,351.93067919011213,430.5420885837104,57584200,77101300
2022-03-28,357.13739013671875,435.0750427246094,357.2352661018852,435.0750427246094,350.4430862915413,429.49238028030686,351.68602443325653,431.4009808340559,56833900,68529800
2022-03-29,363.2835998535156,440.457275390625,363.909952226636,440.9535301667968,358.2628648422368,436.28698789480967,361.04236883322204,438.99719715099053,68073000,86581500
2022-03-30,359.27093505859375,437.737548828125,363.0780919249698,440.12329952127385,357.7833219945809,435.60944872558025,361.4142901833692,439.3025861389053,68757700,79666900
2022-03-31,354.81787109375,431.00018310546875,359.77009021209136,437.7947962922711,353.97617364628746,430.54210849673177,359.41774271598706,436.9645597263181,67011400,121699900
2022-04-01,354.14251708984375,432.22174072265625,355.8650083719108,432.7370419591024,350.95194628795844,428.61448645285157,355.0820605043846,432.59390272675626,54527800,89048800
2022-04-04,361.4338684082031,435.9242858886719,361.4436649650168,436.0292740464502,354.7200012952997,431.5917842853289,354.9842395213076,432.42202073524425,45950200,59601000
2022-04-05,353.4085693359375,430.4181213378906,360.6900995885831,436.9073526060804,352.2634772157205,429.2634259731939,359.9756378496825,434.4166424653373,62738700,74214500
2022-04-06,345.7355041503906,426.1141052246094,349.1805167264054,428.4139721495732,343.09300271857137,423.203501329322,348.07458116321845,426.46722075392,90077100,106898000
2022-04-07,346.5576171875,428.2612609863281,348.7596918139656,430.09353005913187,341.26284750153684,423.2607375995891,344.73721996516315,425.2265935473344,63777400,78097200
